,query
51,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
OPTIONAL { 
   ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur }.
 
}
LIMIT 50
OFFSET 160"
52,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
 ?fromage dbpprop:country ?pays .
 ?fromage dbpprop:name ?nomFromage .
 ?fromage dbpprop:source ?typeLait .
OPTIONAL { 
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur }.
 
}
LIMIT 50
OFFSET 160"
53,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
 ?fromage dbpprop:country ?pays .
 ?fromage dbpprop:name ?nomFromage .
 ?fromage dbpprop:source ?typeLait .
 ?fromage dbpprop:texture ?texture .
OPTIONAL { 
    ?fromage dbpprop:aging ?fraicheur }.
}"
54,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
 ?fromage dbpprop:country ?pays .
 ?fromage dbpprop:name ?nomFromage .
 ?fromage dbpprop:source ?typeLait .
OPTIONAL { 
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
55,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .

 ?fromage dbpprop:name ?nomFromage .
 
OPTIONAL { 
    ?fromage dbpprop:texture ?texture .
?fromage dbpprop:source ?typeLait .
 ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
56,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .

 
 
OPTIONAL { 
    ?fromage dbpprop:texture ?texture .
?fromage dbpprop:source ?typeLait .
 ?fromage dbpprop:country ?pays .
?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
57,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .

 
 
OPTIONAL { 
    ?fromage dbpprop:texture ?texture .
?fromage dbpprop:source ?typeLait .
 ?fromage dbpprop:country ?pays .
?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
58,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .

 ?fromage dbpprop:name ?nomFromage .
 ?fromage dbpprop:texture ?texture .
?fromage dbpprop:source ?typeLait .
 ?fromage dbpprop:country ?pays .
 
OPTIONAL { 
    
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
59,"select (distinct ?fromage) ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .

 ?fromage dbpprop:name ?nomFromage .
 ?fromage dbpprop:texture ?texture .
?fromage dbpprop:source ?typeLait .
 ?fromage dbpprop:country ?pays .
 
OPTIONAL { 
    
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
60,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .

 ?fromage dbpprop:name ?nomFromage .
 ?fromage dbpprop:texture ?texture .
?fromage dbpprop:source ?typeLait .
 ?fromage dbpprop:country ?pays .
 
OPTIONAL { 
    
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
61,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .

 ?fromage dbpprop:name ?nomFromage .
 ?fromage dbpprop:texture ?texture .
?fromage dbpprop:source ?typeLait .
 ?fromage dbpprop:country ?paysPage .
 ?paysPage rdfs:label ?pays .
 
OPTIONAL { 
    
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
62,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .

 ?fromage dbpprop:name ?nomFromage .
 ?fromage dbpprop:texture ?texture .
?fromage dbpprop:source ?typeLait .
 ?fromage dbpprop:country ?paysPage .
 ?paysPage rdfs:label ?pays@en .
 
OPTIONAL { 
    
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
63,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .

 ?fromage dbpprop:name ?nomFromage .
 ?fromage dbpprop:texture ?texture .
?fromage dbpprop:source ?typeLait .
 ?fromage dbpprop:country ?paysPage .
 ?paysPage rdfs:label ?pays .
 
FILTER langMatches( lang(?pays), ""en"" )
OPTIONAL { 
    
    ?fromage dbpprop:aging ?fraicheur }.
 
}"
