,query
51,"PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 6"
52,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 6"
53,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Austrian_philosophers> .
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 6"
54,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:British_writers> .
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 6"
55,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:American_actors> .
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 6"
56,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Actors> .
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 6"
57,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Actors_by_nationality> .
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 6"
58,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Black_British_actors> .
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 6"
59,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Black_British_actors> .
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 10"
60,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Pornographic_film_actors_by_ethnicity> .
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 10"
61,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Ethnic_Armenian_actors> .
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 10"
62,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?name ?person ?birth
WHERE {
?person <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Ethnic_Armenian_actors> .
?person dbo:birthDate ?birth .
?person foaf:name ?name.
}
order by ?birth
limit 10"
63,"PREFIX prop: <http://dbpedia.org/property/>
SELECT ?name ?river ?lenght WHERE
{
?river prop:lenght ?lenght
?river <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Rivers> .
?river foaf:name ?name
}

ORDER BY (lenght)"
64,"PREFIX prop: <http://dbpedia.org/property/>
SELECT ?name ?river ?lenght WHERE
{
?river prop:lenght ?lenght
?river <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Rivers> .
?river foaf:name ?name.
}

ORDER BY (?lenght)"
65,"PREFIX prop: <http://dbpedia.org/property/>
SELECT ?name ?river  WHERE
{

?river <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Rivers> .
?river foaf:name ?name.
}

ORDER BY (?name)"
66,"PREFIX prop: <http://dbpedia.org/property/>
SELECT ?name ?river  ?length WHERE
{

?river <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Rivers> .
?river foaf:name ?name.
?river prop:length ?length
}

ORDER BY (?length)"
